,car_id,name,amount,region,condition,mileage
77,zh9cXsdAZOAYt4S4NQ8TXXMo,Toyota RAV4 2010 Red, 3675000,"Abuja (FCT), Mararaba",Nigerian Used,75752 
78,7Ic7zh9GshWL5I4Z2guq0niC,Lexus GX 460 2011 Black, 14700000,"Abuja (FCT), Garki 2",Nigerian Used,266847 
79,pzmnJnPylruTVyxlqzE8DmmG,Toyota Venza 2009 Black, 6300000,"Abuja (FCT), Jabi",Nigerian Used,75127 
80,ayjsd1ToehfQZGB4p0qI3Xfu,Toyota RAV4 2007 Gray, 3255000,"Rivers State, Port-Harcourt",Nigerian Used,120796 
81,fQVQYSeePf4eP4ItNjqnVbt2,Toyota Tundra 2002 Gold, 5040000,"Lagos State, Ogba",Nigerian Used,445820 
82,iMHZidjyqEjCkqUwHMtROX06,Ford Edge 2016 Black, 7875000,"Abuja (FCT), Mararaba",Nigerian Used,42959 
83,D2H0rkcJeoDUErXcciPR6eA,Lexus RX 2010 Silver, 11500000,"Lagos State, Isolo",Foreign Used,111350 
84,537pv7QgBIsnixTqLouVB3Ts,Lexus ES 350 2011 White, 3990000,"Ondo State, Akure",Nigerian Used,154628 
85,sag1iSpCJTgCk0ZHYelCrJyz,Mercedes-Benz GL-Class 2008 Gold, 6240000,"Lagos State, Ojodu",Nigerian Used,Nigerian Used
86,awc22XN7nBIGeD4Ts3rWD44S,Lexus ES 2011 Black, 4725000,"Lagos State, Ilupeju",Nigerian Used,124046 
87,ucHnx5jBmGkRK4K8waI6g7bD,Toyota Sienna Limited 7 Passenger 2011 Gray, 4725000,"Ondo State, Akure",Nigerian Used,228900 
88,noGVtpt2GztoUbsWLIpHW70I,Lexus ES 2007 Black, 6448000,"Abuja (FCT), Jabi",Foreign Used,196035 
89,5xCQrF6J9KJCmB7u70xU1BhA,Toyota Sequoia 2004 Black, 3640000,"Lagos State, Magodo",Nigerian Used,394917 
90,pMQU5wvB5X6lVe5uEIAUcXyb,Land Rover Range Rover Velar 2018 Gray, 57200000,"Ondo State, Akure",Foreign Used,128787 
91,kkYOnTLL8bnd5eE0MYkA5GQH,Toyota Highlander 2008 Black, 4515000,"Rivers State, Port-Harcourt",Nigerian Used,66468 
92,95uWl7LnwuRwZCpsc0OtrNXi,Ford Edge 2007 Gold, 3432000,"Lagos State, Ajah",Nigerian Used,146078 
93,pPfww33ml0vpD1Avl1ISTb5L,Toyota 4-Runner Limited 2004 White, 3640000,"Ondo State, Akure",Nigerian Used,361229 
94,jHrWPWjL3RjMXJecShWTq9kT,Toyota Sienna 2006 White, 4935000,"Abuja (FCT), Jabi",Foreign Used,271985 
95,sE4wJorGefpu2ErGzIdBE6Ot,Lexus ES 2007 Black, 4410000,"Lagos State, Isolo",Nigerian Used,138070 
96,5k913haLJ3JsrvNh97XDVoJF,Acura MDX 2008 Black, 3952000,"Abuja (FCT), Jabi",Nigerian Used,99487 
97,flvGEn1oC4lSzZstwX6Od0Pf,Lexus LX 570 (5 seats) AWD 2017 White, 49796250,"Lagos State, Magodo",Foreign Used,80475 
98,psWYirlDwaljUvVW1SxZTN5t,Lexus ES 2002 Burgandy, 3255000,"Lagos State, Ikorodu",Foreign Used,275416 
99,zivxq1iM7RV3lN552ZsRwVit,Toyota RAV4 2014 Silver, 10500000,"Lagos State, Ogba",Foreign Used,110523 
100,2WJx4FZplKzOuBes4Jhq9dpR,Ford Explorer 2006 Black, 3328000,"Lagos State, Lekki",Nigerian Used,90868 
101,7DuOtCiJIAxBHJOs9nddGQDa,Lexus RX 330 2004 Black, 7280000,"Ondo State, Akure",Foreign Used,333590 
102,x2TblvVBvwf2UzrcJb0x0QVt,Lexus RX 350 2009 Brown, 5512000,"Abuja (FCT), Wuse",Nigerian Used,164400 
103,5xEMOXskcyOc0VRxKzkpycIc,Toyota Camry 2007 White, 3432000,"Oyo State, Ibadan",Nigerian Used,197298 
104,heNA1XZ3l3bf1ifOjuKv1O5q,Ford Explorer 2016 Green, 12500000,"Abuja (FCT), Jabi",Nigerian Used,236098 
105,deiyZUOPNhhhTM1bJJyGZF9J,Toyota Corolla 2009 Gray, 3640000,"Ondo State, Akure",Nigerian Used,319927 
106,wPky2g6PyVcoCgSHTMHKs8ok,Toyota Corolla 2014 Black, 5145000,"Rivers State, Port-Harcourt",Nigerian Used,108582 
107,nrIpGVnEbmUilDztiahGgIW7,Toyota Highlander 2016 Black, 18200000,"Lagos State, Ojodu",Foreign Used,121938 
108,nOdSjXYNhPT7yAeDdqeF7UBf,Mercedes-Benz GLK-Class 2010 Gray, 7280000,"Lagos State, Ogba",Nigerian Used,252544 
109,6i4BxQVkZbaVsgJnSwcqKNZQ,Toyota Sequoia 2008 Gray, 8008000,"Lagos State, Ikeja",Nigerian Used,218242 
110,iHOZ9UBC664n6F73gEa4abIr,Rover Land 2011 Blue, 8925000,"Lagos State, Ojodu",Foreign Used,118504 
111,zCAROAXr0B7eX3vcv6U2bF1C,Toyota Camry 2007 Blue, 3328000,"Oyo State, Ibadan",Nigerian Used,145184 
112,jEs5Q8lfoIpwdDVZmDKNELvX,Lexus GS 2008 Silver, 5200000,"Lagos State, Ojodu",Nigerian Used,194762 
113,856naLb61I6d7Po7uMCBTDAx,Toyota Sequoia 2011 Black, 7350000,"Lagos State, Lekki",Nigerian Used,189580 
114,vcGh7CQnX4jG1KCyHnjPD8Z6,Toyota Tundra CrewMax Limited 5.7L 2010 Gray, 7350000,"Abuja (FCT), Garki 2",Nigerian Used,93737 
115,sitXDS7Q4n3j3cRoFyxB2u9p,Mercedes-Benz E400 2017 White, 26250000,"Abuja (FCT), Lugbe District",Nigerian Used,66860 
116,aGebsARmphQBBvRw9a6UKWHe,Toyota Camry 2007 Blue, 3328000,"Oyo State, Ibadan",Nigerian Used,308529 
117,gtAMq2TTFqiATGDODt7O0wp0,Lexus RX 330 2004 Blue, 6300000,"Lagos State, Ajah",Foreign Used,165023 
